TradeID,Buy_Time,Sell_Time,Symbol,Buy_Price,Sell_Price,Contracts,ProfitLoss,ProfitPercent,Profitable,Buy_Comm,Sell_Comm
59,1/30/2023 9:48:36 ,1/30/2023 9:49:12 ,SPY 230131P404,1.85,1.94,1,9.0,4.86%,1,1.0,1.0
60,1/30/2023 9:48:44 ,1/30/2023 9:50:06 ,SPY 230131P404,1.88,1.88,1,0.0,0.00%,1,1.0,1.0
61,1/30/2023 9:50:35 ,1/30/2023 9:50:55 ,SPY 230131P404,1.89,1.98,1,9.0,4.76%,1,1.0,1.0
62,1/30/2023 9:50:35 ,1/30/2023 9:51:44 ,SPY 230131P404,1.89,1.9,1,1.0,0.53%,1,1.0,1.0
63,1/30/2023 9:53:15 ,1/30/2023 9:54:02 ,SPY 230131P404,1.89,1.96,1,7.0,3.70%,1,1.0,1.0
64,1/30/2023 9:53:15 ,1/30/2023 9:54:14 ,SPY 230131P404,1.89,2.12,1,23.0,12.17%,1,1.0,1.0
65,1/31/2023 10:02:23 ,1/31/2023 10:05:32 ,SPY 230201P401,3.04,3.04,1,0.0,0.00%,1,1.0,1.0
66,1/31/2023 10:06:41 ,1/31/2023 10:07:11 ,SPY 230201P401,2.96,2.8,1,-16.0,-5.41%,0,1.0,1.0
67,2/1/2023 09:55:25,2/1/2023 09:56:21,SPY 230202P406,3.2,3.37,1,17.0,5.31%,1,1.0,1.0
68,2/1/2023 10:15:07,2/1/2023 10:16:39,SPY 230202P405,3.04,3.23,1,19.0,6.25%,1,1.0,1.0
69,2/2/2023 09:32:01,2/2/2023 09:32:34,SPY 230203C415,2.53,2.65,1,12.0,4.74%,1,1.0,1.0
70,2/2/2023 09:48:33,2/2/2023 09:50:35,SPY 230203P412,1.77,1.81,1,4.0,2.26%,1,1.0,1.0
71,2/2/2023 09:48:33,2/2/2023 09:50:57,SPY 230203P412,1.77,1.81,1,4.0,2.26%,1,1.0,1.0
72,2/2/2023 10:00:56,2/2/2023 10:01:36,SPY 230203C415,2.1,2.17,1,7.0,3.33%,1,1.0,1.0
73,2/2/2023 10:00:56,2/2/2023 10:01:59,SPY 230203C415,2.1,2.4,1,30.0,14.29%,1,1.0,1.0
74,2/3/2023 09:30:51,2/3/2023 09:31:12,SPY 230206P411,1.8,1.89,1,8.5,4.71%,1,1.0,1.0
75,2/3/2023 09:30:51,2/3/2023 09:31:18,SPY 230206P411,1.8,1.79,1,-1.5,-0.83%,0,1.0,1.0
76,2/3/2023 09:32:10,2/3/2023 09:32:27,SPY 230206P411,1.74,1.67,1,-7.0,-4.02%,0,1.0,1.0
77,2/3/2023 09:40:38,2/3/2023 09:41:25,SPY 230206P413,2.08,1.96,2,-25.0,-6.00%,0,2.0,2.0
78,2/6/2023 09:41:45,2/6/2023 09:42:07,SPY 230207C411,2.0,2.06,1,6.0,3.00%,1,1.0,1.0
79,2/6/2023 09:41:45,2/6/2023 09:42:52,SPY 230207C411,2.0,2.0,1,0.0,0.00%,1,1.0,1.0
80,2/6/2023 09:50:00,2/6/2023 09:50:38,SPY 230207P409,1.99,1.91,2,-16.0,-4.02%,0,2.0,2.0
81,2/7/2023 09:56:31,2/7/2023 09:59:04,SPY 230208P408,1.97,2.04,2,14.0,3.55%,1,2.0,2.0
82,2/7/2023 10:05:56,2/7/2023 10:06:59,SPY 230208P408,1.98,1.94,2,-8.0,-2.02%,0,2.0,2.0
83,2/7/2023 10:28:35,2/7/2023 10:30:30,SPY 230208C410,1.81,1.9,1,9.0,4.97%,1,1.0,1.0
84,2/7/2023 10:28:35,2/7/2023 10:32:11,SPY 230208C410,1.81,1.96,1,15.0,8.29%,1,1.0,1.0
85,2/7/2023 10:52:02,2/7/2023 10:54:10,SPY 230208P408,1.83,1.93,2,20.0,5.46%,1,2.0,2.0
86,2/8/2023 09:38:04,2/8/2023 09:38:16,SPY 230209P413,1.85,1.75,2,-20.0,-5.41%,0,2.0,2.0
87,2/9/2023 09:42:10,2/9/2023 09:42:52,SPY 230210C414,1.97,1.89,2,-16.0,-4.06%,0,2.0,2.0
88,2/10/2023 09:36:26,2/10/2023 09:36:45,SPY 230213P405,1.8,1.89,1,9.0,5.00%,1,1.0,1.0
89,2/10/2023 09:36:26,2/10/2023 09:37:10,SPY 230213P405,1.8,1.8,1,0.0,0.00%,1,1.0,1.0
90,2/10/2023 09:46:05,2/10/2023 09:47:12,SPY 230213P405,1.95,2.05,1,10.0,5.13%,1,1.0,1.0
91,2/10/2023 09:46:05,2/10/2023 09:48:39,SPY 230213P405,1.95,2.02,1,7.0,3.59%,1,1.0,1.0
92,2/10/2023 09:50:10,2/10/2023 09:50:36,SPY 230213P405,1.9,1.83,2,-14.0,-3.68%,0,2.0,2.0
93,2/10/2023 10:04:08,2/10/2023 10:04:55,SPY 230213C406,2.15,2.26,1,11.0,5.12%,1,1.0,1.0
94,2/10/2023 10:04:08,2/10/2023 10:05:40,SPY 230213C406,2.15,2.51,1,36.0,16.74%,1,1.0,1.0
95,2/13/2023 9:39:06 ,2/13/2023 9:39:12 ,SPY 230213P408,1.03,0.99,2,-8.0,-3.88%,0,2.0,2.0
96,2/13/2023 10:00:58 ,2/13/2023 10:04:17 ,SPY 230215P410,4.02,4.01,1,-1.0,-0.25%,0,1.0,1.0
97,2/14/2023 9:44:45 ,2/14/2023 9:45:01 ,SPY 230215P410,2.02,1.95,2,-14.0,-3.47%,0,2.0,2.0
